AccountNumber,Balance,AccountType,LinkedCustomerID
GB80BLFA55622848834344,321050.58,Checking,416b3234-5a0d-4fe8-b4b0-84a707fc0f98
GB78DYGC29617509580953,142995.14,Checking,f2ec5bcc-98d3-48bd-b4d5-ab0004454f88
GB59COQN96918296208114,350219.44,Checking,04995017-a34b-430b-b423-a0b6b2af6e19
GB43JYKA86860886732372,836186.23,Savings,3e8f7be0-ef27-41f4-95d7-b7cb5489a9a5
GB12HAHC69927185381960,141618.95,Savings,54bf6175-f0ae-407a-ac34-3d14e9460c03
GB82ZWXQ42863328804875,103249.31,Business,2f6e965b-44b3-4332-a6f7-5ba67de26888
GB18HPRR64283727089503,44729.96,Savings,2a8a0b3e-3598-4f35-8bcf-9df26473cd6f
GB24ZIHQ86830951899965,245970.38,Savings,aa300ccd-7140-4f26-879f-42a985e7d5af
GB21XKDI03941815451135,750738.92,Business,6d896dea-ee5c-4f0d-9e4f-5204721751b1
GB04SUDR33816988071479,745801.71,Business,b4274dbe-b62a-4c76-b449-3261cd499530
GB42HQYJ03555479976341,78736.25,Checking,a5f82df3-18fc-4907-9ad2-3ac223d057fd
GB77RTTK68782266866158,36892.18,Checking,a85140dd-1344-4c36-81ec-7956a13fe77c
GB47ZXDO67996501368452,635733.15,Savings,10d4110a-d812-41bd-9521-d677ca140bee
GB60WNTR53756036108097,682228.92,Savings,07d0a3db-b3dd-43e7-bbe0-8b04195ff1b6
GB24EDCA28645162647929,229318.31,Checking,532df5af-c2e8-4d24-9209-4e057f52f388
GB13SAPH13295470764601,370308.26,Checking,35c86fc8-443d-46e4-a60b-a91f0cf64f4b
GB34TIQH60580240899748,844067.68,Savings,f13e8279-1516-4569-ade8-548d45feec5e
GB46EBJD21854484944590,657489.43,Savings,c0eeaeac-6d13-46d9-a125-4f22bc166802
GB14BZIR35992657976059,960704.49,Business,b8be2685-5085-425f-b2a1-5fb15fac97e6
GB18DNRS64322335696116,211836.94,Checking,3786e0d7-6808-4b02-ab34-e8d00dfee3f5
GB10LYGZ56477859843994,769936.35,Business,b81cf941-2cd9-4228-8cd1-2c21fb20263d
GB31HHEH86127116069726,364567.72,Checking,f431d77c-7148-4673-aed8-a518a0e5fbee
GB98WIRP88206904240118,979618.36,Checking,52f9543b-b31b-471a-83f9-1e00c6f27245
GB85LQJQ77057673578562,977316.91,Business,19f61704-d750-4825-bb8f-4a485e4e415f
GB39USNC93083437132202,259554.42,Business,c59d4e43-f535-4bf9-b2c2-f52998d5e5b6
