FintAccountNumber,Balance,AccountType,LinkedCustomerID
GB09YTRX07724987681044,728794.27,Savings,5535b9cf-8626-4ce3-870f-bb8e1d989520
GB51VHDW26014015903620,463156.46,Checking,d5076028-da90-4ee7-917c-f7b3b278f63f
GB98CYUG26763769892799,947832.88,Business,ce965cb1-5142-498f-ade9-7537720249ab
GB96ZRPA24011445277311,754109.5,Savings,097a8096-e3c5-41ee-bede-0ddc110341cd
GB84VRIM28797817720702,252723.97,Checking,34edef2f-6eb5-4c58-b999-24f0f786c5a9
GB47EDIT86123141400039,372212.13,Business,bc46a8b2-9150-4c98-85b7-4e59308c9ef5
GB26KVXN74725599656434,567361.34,Savings,9106de22-ccd3-4204-b627-badee3c31ee4
GB41MMTB64956787154550,580344.05,Checking,0f97719f-dac7-479b-a0d2-0d2ed81b6a3c
GB20SWQU53284322729895,148871.98,Business,e211f2cc-d600-40f0-9e9f-09f42a839634
GB36HUNP48089745833974,904709.23,Savings,4590aacb-fa54-43e2-ae46-b628db7fc919
GB62QTFE52414259907960,325503.04,Checking,756094d8-9c13-40f9-b824-c21f2ff6cc05
GB95RNZS27540803049364,31581.33,Business,886781c5-aa1e-44d4-9e86-61b66f62b758
GB11LMEJ48452591993891,672991.03,Savings,a863c4cb-16bd-49cf-8383-1239e63a45ce
GB58CLLA61590017728607,79884.86,Checking,3384cc87-963a-48b6-ad50-072c0ff980c9
GB94QOPE64938978670918,895043.71,Business,da589dcf-c1b8-48ef-9e54-8fc1d0e8f0c4
GB93CFHN26347862678892,198402.17,Savings,561f122a-7337-42d1-a9a7-586358b3eee0
GB14EFWD21348654834786,273449.63,Checking,b6998579-27b9-418c-a57c-27e8b3bee4f8
GB37TKYK55200779457583,164610.84,Business,5af660c9-bd80-4433-87d1-4d46c0418552
GB95EVVC35824287789251,610145.03,Savings,4dfbd82a-3e4a-4a46-89b4-b8ffdfda8546
GB31YGDT41454145663144,290564.38,Checking,5049293d-c16c-45fc-a7cb-4f6ad556bd5d
GB39FNMF69797961133378,432309.23,Business,6b6cbd35-ab01-4d9b-a983-67030afac3f8
GB40NYIG10000315251165,543142.68,Savings,45e82e49-78ba-48d0-8158-554b9bc76d62
GB40FPYY69771477899461,405445.05,Checking,3af75d7d-5884-4f68-b18d-a8ddaf70b5bc
GB35ISQQ28310772527176,264130.43,Business,392f49ea-7100-46ac-befa-d5d27f46d7b6
GB30AMWT72883078326835,987413.05,Savings,575c6a8c-f335-42c3-a5df-f36934e4a5e6
GB29OJVG24128916225690,602712.69,Checking,2b1468e5-23cb-4a9a-b6d9-caa66a26f547
GB31DEOK66159067025733,74305.64,Business,b06161a8-a0f7-46fb-a881-99b2121ddcdd
