FintAccountNumber,Balance,AccountType,PrimaryAccountHolderID,SecondaryAccountHolderID
GB39ZYQK27940571553451,547543.76,Checking,5de36abe-3c4c-4495-b231-d1108219a8d5,5de36abe-3c4c-4495-b231-d1108219a8d5
GB11EMJR09608754995031,808531.23,Savings,57e726a1-78b7-4c18-bc62-a4470c444905,57e726a1-78b7-4c18-bc62-a4470c444905
GB37VXUI10017721165584,650731.59,Checking,6931f234-ce06-4045-a99f-403672d41ee6,6931f234-ce06-4045-a99f-403672d41ee6
GB28DJKR11664700676103,60354.53,Checking,e44d0f96-5aa5-44b7-bed1-d505beafa036,895a3c0c-e06d-41b6-af5d-f3346e2b21aa
GB86ZRYT81590906855729,51192.12,Savings,4c251e3f-aa3b-4176-8791-f0c4c8f55147,a3b8e994-9131-4623-8a4c-0f7dd5704d34
GB05QQTX81185656839363,830629.36,Business,f75a5f52-7578-4130-9deb-fd94986b86e5,f75a5f52-7578-4130-9deb-fd94986b86e5
GB63SPZZ43569425542156,296999.56,Savings,de8e3a66-b2ac-4114-80e0-68446b0000b1,de8e3a66-b2ac-4114-80e0-68446b0000b1
GB67OGGC06838212632299,265117.67,Business,f52d1322-ca45-43dc-8275-5fcaa7158aef,359825e9-1df2-46e3-b5c5-4f42b3f225f3
GB25ZRVF56355399784072,422227.81,Business,032a1ca1-d294-4ce8-888c-a96ad7764d75,fcb857df-7b76-4913-a5c4-a99d239bd051
GB40UATJ79943531014859,309277.48,Savings,82e864b5-167e-4de5-b41d-1a641f0e2e56,aa8ca4e8-8480-4131-854b-f3dbb3687ec2
GB06ECGW29595640771860,137994.67,Business,97f74a8d-8755-4490-be50-b3fd08a6af45,720d56e9-604b-4776-b486-4c3ab23d374f
GB78TUNU90344998115397,186364.26,Business,2b04c844-2043-4860-a205-f6de5da50997,b46e5289-cf09-4762-8118-f5323aaacbaa
GB88NBNB46505399546315,424454.52,Business,f10b77ec-f73c-4e9b-a857-d1efcc33e0fb,f10b77ec-f73c-4e9b-a857-d1efcc33e0fb
GB45NYCF51099166363015,638576.09,Checking,02ac1cb4-17f4-4f7a-b67b-584c4ffbb38b,09a6a966-a1a8-423a-b8dd-2bab61dcb3a8
GB30PQMJ00012382905313,637120.46,Savings,fa9c3530-affb-4392-ba01-3fbe72018b13,fa9c3530-affb-4392-ba01-3fbe72018b13
GB97WXZI48300289723953,395151.66,Savings,c57e3b64-0b23-4909-8035-f65515b59346,09ff39ea-5ebb-4e3c-a1a1-122a1af4c220
GB97XCIP61702085817241,430396.75,Checking,dfd64a15-36c3-4c85-96c2-2bb5c67a1a13,981179ec-05ad-49ab-b9ec-f8b2d9897404
GB44IIPG68971059790993,794219.96,Business,912808b8-07a2-4a57-83ed-39ce204653ff,c8e5a47c-0e54-49e4-8aa0-8469eab943d6
GB80YOAI20783775682121,306674.95,Savings,5dc17874-3434-4620-96d3-cc0453888e17,0c0ef0fe-40c0-4ee7-a618-da1f9235b5ce
GB30XHKT78177587763591,148253.8,Savings,150af23c-99ab-4f85-99ac-89519a56ac30,150af23c-99ab-4f85-99ac-89519a56ac30
GB11VIVH37713499116154,608639.2,Savings,daf0cbc8-82a9-4928-b0b5-f6deb18726e8,29fb2d08-2f7b-4305-8d4f-0249b4ec6307
