FintAccountNumber,Balance,AccountType,PrimaryAccountHolderID,SecondaryAccountHolderID
GB51VGFS64281625144193,52525.19,Savings,4ebc7c22-51cd-40f7-8496-5227bb4ca0af,4ebc7c22-51cd-40f7-8496-5227bb4ca0af
GB70XYPM83693189185951,164326.89,Business,aa111cb4-2d5a-4953-a906-156142fa9b70,aa111cb4-2d5a-4953-a906-156142fa9b70
GB95WDXD39615897867195,836268.29,Savings,0a56c9a8-4130-447e-b1d3-565482f111a5,0a56c9a8-4130-447e-b1d3-565482f111a5
GB04ORLP70796842190820,886325.48,Business,bccc8347-04fe-4086-b555-f61f80af6591,620d0e96-f2b2-4c07-8dba-fbc1e7e9f1f0
GB20BLZO19054331416784,626086.32,Savings,2a2202e7-2e03-4552-8bab-c253f3a34a50,6852bd80-6d44-415c-9135-7a11cdbddfd6
GB44EHOG17204120777968,854118.82,Savings,0a56c9a8-4130-447e-b1d3-565482f111a5,0a56c9a8-4130-447e-b1d3-565482f111a5
GB84IVIZ19162899083257,522557.8,Checking,69e48f0e-d685-4c31-b626-bbbe321c337b,59a498ed-0b4b-4b93-ba0d-09e66b968ee7
GB30PBRW77456011005193,96002.37,Business,d7e65898-4512-4890-b876-cce5b52aa1a2,d7e65898-4512-4890-b876-cce5b52aa1a2
GB32LPUZ07780792444638,926588.76,Checking,fb1746f7-e43d-4c70-8b26-246338e5fee7,68506da7-12f3-4f45-863e-b2b6fdbcb1bc
GB57RILX15954380341593,226849.01,Business,e8254884-dfbf-4cae-b91d-492ce0dd0008,e8254884-dfbf-4cae-b91d-492ce0dd0008
GB91FLSE30215594488219,800459.36,Savings,3dab0f42-a12b-4234-b526-97222eeec460,3dab0f42-a12b-4234-b526-97222eeec460
GB93DQKN93987765185780,547479.98,Checking,5c1013b6-10fd-4290-af6f-5a28cb24d61c,5c1013b6-10fd-4290-af6f-5a28cb24d61c
GB56AFVT23698979967573,289973.94,Savings,08cc65cd-d6d9-444a-b41e-e3e3b586aa10,c7068774-4a2b-4a0a-8e27-17ea3c384ff0
