FintAccountNumber,Balance,AccountType,PrimaryAccountHolderID,SecondaryAccountHolderID
GB67NNMC62305652771977,51906.25,Business,0db5fbf0-060b-4622-92b0-dd1091707567,0db5fbf0-060b-4622-92b0-dd1091707567
GB34JBXU89224580706288,978417.57,Checking,b75f99e3-ac8f-4662-bcc1-55f0acc51c08,b75f99e3-ac8f-4662-bcc1-55f0acc51c08
GB79ZTBI48041980382953,99638.11,Business,ed19ec34-ab73-4614-9473-ba44d155eaf5,ed19ec34-ab73-4614-9473-ba44d155eaf5
GB47LEJY88706686094039,441615.63,Checking,08c55a3f-9a85-48bf-b4b1-484945c3556a,08c55a3f-9a85-48bf-b4b1-484945c3556a
GB30UBPC61380679536597,677140.63,Business,8b378a3c-8a9c-4ed8-afa8-9b43e5a29882,8b378a3c-8a9c-4ed8-afa8-9b43e5a29882
GB18GPTF99336556893246,612933.57,Checking,fbdc0c46-4490-4759-b012-f9138306d2f5,8b378a3c-8a9c-4ed8-afa8-9b43e5a29882
GB46NSBN04461012250281,580425.78,Business,e0b92a12-9488-4c5e-a1c1-b864392f285b,e0b92a12-9488-4c5e-a1c1-b864392f285b
GB31YNYX14610439915865,721345.43,Checking,6aa3d0a7-2184-4061-b1e9-24cc34cf08e8,6aa3d0a7-2184-4061-b1e9-24cc34cf08e8
GB10GEWB76678315852594,882852.96,Checking,5be33c7e-8a10-4808-a315-2cff496ee5e5,5be33c7e-8a10-4808-a315-2cff496ee5e5
GB13WPJY31850745249959,278056.78,Checking,f885183b-9374-4c5b-b829-e9f262b3bad6,5be33c7e-8a10-4808-a315-2cff496ee5e5
GB44DPYZ88308098673665,690830.84,Savings,1838966b-4d32-43c4-8f2e-dec91e19c439,1838966b-4d32-43c4-8f2e-dec91e19c439
GB64SHYO27372961978356,717172.37,Checking,ad369f6b-c388-4886-8c10-e8cc6c31a298,f885183b-9374-4c5b-b829-e9f262b3bad6
GB26OQGU72058962115019,903956.17,Checking,c28d823f-316f-4ac1-98a3-4fb964bea057,c28d823f-316f-4ac1-98a3-4fb964bea057
GB18IDDO24230130279838,506923.32,Business,f93288a7-dcfa-4cde-a137-be4e0b9f5ae0,f93288a7-dcfa-4cde-a137-be4e0b9f5ae0
GB56ETRW25894849758588,97078.18,Checking,0217b7f2-f8d9-41ba-8462-2fb57a012fed,0217b7f2-f8d9-41ba-8462-2fb57a012fed
GB92NRXY51785808298097,720439.99,Savings,296db547-6fbf-489a-9a6c-bd4dad4219ae,f93288a7-dcfa-4cde-a137-be4e0b9f5ae0
GB19IBSB72835862970149,638083.01,Savings,719241c9-b72a-443d-a5b6-6c7f3c4a66ff,719241c9-b72a-443d-a5b6-6c7f3c4a66ff
GB68MQUE72502845926758,39246.89,Savings,bdb0eb48-5d90-4c03-948e-00dd6fcd57a2,bdb0eb48-5d90-4c03-948e-00dd6fcd57a2
GB66XKGG97449347259278,378255.6,Checking,743d3768-bd64-4a30-bf89-30ed7d9202ec,719241c9-b72a-443d-a5b6-6c7f3c4a66ff
GB95XBUT07113934480787,649904.52,Checking,ca9cefc8-2ef5-4d98-bede-9d9751622a3c,ca9cefc8-2ef5-4d98-bede-9d9751622a3c
GB78MYVN41167203853848,674276.1,Business,8ffab3be-642e-4cbb-a6c7-0a81b9b44163,b75f99e3-ac8f-4662-bcc1-55f0acc51c08
GB74CBHX70413423444939,733139.3,Checking,9e8791ed-5a5c-4da8-9269-05f5496793d6,9e8791ed-5a5c-4da8-9269-05f5496793d6
GB85OOIR91041111483647,629016.62,Business,45bdc212-812c-4a26-9e60-59f9ebecab86,45bdc212-812c-4a26-9e60-59f9ebecab86
GB18LWZO57460179341819,959409.85,Savings,5724e56f-9ba0-4b74-8328-e36e2e4fe916,296db547-6fbf-489a-9a6c-bd4dad4219ae
GB54JUPR44748921608727,345275.16,Business,76eb1a4c-bd03-4b13-9158-2f6adb759d2c,76eb1a4c-bd03-4b13-9158-2f6adb759d2c
GB89GKBX83764864059587,210956.4,Business,6a08a974-a0b2-4ec9-b7e7-0747d58f63e5,6a08a974-a0b2-4ec9-b7e7-0747d58f63e5
GB24WSVY68043653728260,781209.7,Business,55ab8dd3-9832-4bf1-a7ac-f6c7be937837,f885183b-9374-4c5b-b829-e9f262b3bad6
GB58AIUP60027567724249,554666.53,Business,ead2a345-c077-4ac8-9659-9523c985f489,ead2a345-c077-4ac8-9659-9523c985f489
GB23CWRL97562203135262,510353.97,Business,8ee8e339-85ab-4ed2-8555-00c8a28edba5,8ee8e339-85ab-4ed2-8555-00c8a28edba5
GB70NUPK76567260265035,906647.0,Checking,606192ec-1725-4496-9837-600322e9af1e,606192ec-1725-4496-9837-600322e9af1e
GB98EVDE12508182070258,963213.51,Business,85e84270-20cd-4717-97c5-8d44cc40e958,85e84270-20cd-4717-97c5-8d44cc40e958
GB73DXQN20664036947736,956911.56,Business,3c278ae5-1bfe-4098-b6d0-3c1e0fe59010,3c278ae5-1bfe-4098-b6d0-3c1e0fe59010
GB17SBUR77049999327778,417517.83,Savings,022c9428-c672-4fef-aa84-52d2ef58e4e1,022c9428-c672-4fef-aa84-52d2ef58e4e1
GB73IUUO11146610314260,952811.79,Business,57d37e23-dc83-40b6-955b-7c658f3e88e6,57d37e23-dc83-40b6-955b-7c658f3e88e6
GB20XEQM72933400827975,57733.33,Savings,bc1193a5-db55-4ccb-bc57-bc8f609c0d71,e0b92a12-9488-4c5e-a1c1-b864392f285b
GB76LUEG57906804072990,624490.07,Business,8ba447ab-35f3-43ff-b4f7-78d55c230a9b,8ee8e339-85ab-4ed2-8555-00c8a28edba5
GB30NZDU70935926434374,857760.51,Business,2f8e1749-71ac-4a9e-a38d-fdf7216db136,2f8e1749-71ac-4a9e-a38d-fdf7216db136
GB56RKBH35005335529903,336340.27,Checking,a2126bf4-217c-40d1-bcc4-d4af93b45177,a2126bf4-217c-40d1-bcc4-d4af93b45177
GB03RKOX85295681582579,207345.03,Savings,78f76a2c-65bc-489a-bb64-cdef04297d54,78f76a2c-65bc-489a-bb64-cdef04297d54
GB76XMDL43380814372916,884311.81,Savings,bcd5ae94-dc73-4503-a44d-3a7e445a0005,6aa3d0a7-2184-4061-b1e9-24cc34cf08e8
GB26LUNV62793775392356,890995.75,Checking,50d4e861-c5eb-4ca9-94ab-5e1b7c82e3c0,50d4e861-c5eb-4ca9-94ab-5e1b7c82e3c0
GB86ONIH93331527393701,125904.89,Savings,5a215de3-d42d-466e-986e-3238195620b6,5a215de3-d42d-466e-986e-3238195620b6
GB83RICE41858918853055,726815.24,Checking,b4e9d00c-0049-4842-bdab-08fa73b30927,022c9428-c672-4fef-aa84-52d2ef58e4e1
GB83KDKD11756009125121,528004.61,Savings,6419e122-0aea-4e22-a575-db4dd7e7d84a,6419e122-0aea-4e22-a575-db4dd7e7d84a
GB88KEGO87976184745892,71057.01,Business,bf885b47-d67d-482c-a7c9-de059c12ea41,bf885b47-d67d-482c-a7c9-de059c12ea41
GB65RFYC82316681616369,289723.49,Savings,31e8c1a1-0ba9-45cc-9814-e90089ab9c4d,ed19ec34-ab73-4614-9473-ba44d155eaf5
GB37RBWV37853096576460,441693.58,Savings,86212288-20df-4c84-950c-a425470b83b5,55ab8dd3-9832-4bf1-a7ac-f6c7be937837
GB47ZCDB83657750526527,146234.15,Savings,7d3dcf2c-6192-480a-bb72-27c01e686dc9,50d4e861-c5eb-4ca9-94ab-5e1b7c82e3c0
GB76KWCM30089754139835,943501.89,Checking,f8b0a4b4-e03c-41ae-8ae5-9e3ddfd8ebbe,f8b0a4b4-e03c-41ae-8ae5-9e3ddfd8ebbe
GB05CBXQ34065380487707,397428.67,Savings,559df0d3-f515-4e43-96f2-fd5b4f74ad94,559df0d3-f515-4e43-96f2-fd5b4f74ad94
GB47WBRY66671661787097,432785.0,Checking,f0c4e41a-62df-4380-90e9-7641b3c484f7,f0c4e41a-62df-4380-90e9-7641b3c484f7
GB60MYUR72690595206604,858092.45,Business,efa2c262-72e2-4652-a19f-4eb654e8e8a0,efa2c262-72e2-4652-a19f-4eb654e8e8a0
GB77XCAP51239131117625,704021.25,Business,19908dc0-50b2-4ea8-8bbc-057a4a839565,9e8791ed-5a5c-4da8-9269-05f5496793d6
GB85UVJV66225615136129,218597.92,Business,84ea6aed-ed80-4f7a-990a-a153d1175271,84ea6aed-ed80-4f7a-990a-a153d1175271
GB61TVPH38579898183620,973306.69,Business,2bd03b8b-30a4-4b0b-b412-df38a2dbb949,2bd03b8b-30a4-4b0b-b412-df38a2dbb949
GB62RRNN91307243471354,562116.57,Checking,3f601fc3-a3c6-420c-8607-c5dacafef18a,3f601fc3-a3c6-420c-8607-c5dacafef18a
GB47EWQA22908701499638,698945.23,Business,7327848f-044e-4acc-9b83-6c8017322431,7327848f-044e-4acc-9b83-6c8017322431
GB46YLBM56984756797601,948029.95,Savings,f98dccdf-b6ea-42db-9bb4-8780c89d6a10,2bd03b8b-30a4-4b0b-b412-df38a2dbb949
GB48XOKX43331338477385,395722.25,Checking,39731039-af51-4357-86b2-d12195106b8a,39731039-af51-4357-86b2-d12195106b8a
GB29LKMX14440912434018,804658.07,Checking,fcae9a7f-36ad-4efc-b0a9-49a2a908689d,fcae9a7f-36ad-4efc-b0a9-49a2a908689d
GB82PHDD73416612267090,940656.88,Checking,fa44f150-4444-48e4-85a8-fc89944e280c,9e8791ed-5a5c-4da8-9269-05f5496793d6
GB55ORBU27405114749933,813074.44,Business,d1afbba1-c9fe-48a4-9482-d9debf046a49,31e8c1a1-0ba9-45cc-9814-e90089ab9c4d
GB44DLFN83375624856224,532516.27,Checking,fa2127d4-6571-4b4e-b71a-f248fa2f353c,719241c9-b72a-443d-a5b6-6c7f3c4a66ff
GB49IYBH65270213497198,639448.14,Savings,8f750981-b08c-44e8-ac97-a434344d76c0,606192ec-1725-4496-9837-600322e9af1e
GB54MNCB65900627564878,976877.21,Business,b3912967-887f-431c-9d09-28e4f03d98bf,84ea6aed-ed80-4f7a-990a-a153d1175271
GB58NCUZ67021272825989,344429.49,Checking,00809c59-a5fa-4ff6-ba7f-6a4b099f06c7,00809c59-a5fa-4ff6-ba7f-6a4b099f06c7
GB13UVQD85482002375280,225458.1,Savings,7515d507-5af5-4dc3-94ef-bbbcbe7a46ab,d1afbba1-c9fe-48a4-9482-d9debf046a49
GB80WATS47354337495310,591834.11,Business,d68eb874-044c-4c35-a25e-0c6fd217a123,f885183b-9374-4c5b-b829-e9f262b3bad6
GB24FNTZ79139249678717,550551.18,Business,08846a41-d935-492b-9495-7275811d8717,f885183b-9374-4c5b-b829-e9f262b3bad6
GB92SUNT70983192978734,825183.19,Savings,51114fea-cf21-420e-a70c-bf004b0c3b9f,6a08a974-a0b2-4ec9-b7e7-0747d58f63e5
