CustomerID,Name,StreetAddress,City,State,ZipCode,RiskScore
035fbfc3-f2a2-493f-adc5-cb178917b553,Jeffrey Williams,79189 Castro Meadow Apt. 219,Micheleshire,Idaho,83400,0.8
19af5f41-52e0-4478-b0ff-39c7022a0ab0,Richard Brooks,755 Barker Ville,West Lucasport,Virginia,50689,0.73
b83d68db-d84a-46bf-8317-87070d6690c2,Rebecca Snow,34466 Miller Drive Apt. 512,Johnchester,Virginia,33231,0.14
e1ad5dfd-277a-429e-b520-20550f32d043,Sandra Salinas,38857 Harrison Underpass,Andreaborough,Kentucky,67551,0.92
05beb68e-4f6b-4d1d-ac70-3748002a815e,Rebecca Morales,5444 Brittany Brook,Ramosfurt,Connecticut,30270,0.2
7b13c4b0-e52b-4e8c-acb4-d53126e86d19,John Hoover,526 Trevino Plains Apt. 446,New Jimmy,West Virginia,92709,0.79
ff13d5cf-5d7c-4970-b3f0-f1949fdfafda,Adam Gonzalez,542 Angela Summit,Taylorland,Wisconsin,74823,0.98
9a2efd66-3ba1-4ca4-8d84-1b176eee0257,Christina Barrera,445 Kane Motorway Apt. 924,East Miguelmouth,New Hampshire,34494,0.58
b88a890d-02ee-4f8e-a12e-7d2b6ceb4ec3,Theodore Wilson,50136 Jensen Mount,West Douglas,Iowa,97212,0.05
955131f5-b693-4821-8e48-545189b497ab,Andrew Collins,12769 Davis Plaza,West Jamesside,Missouri,97645,0.07
622af3a5-5d98-4572-86da-5eb60e9a82df,Gregory Phillips,676 Todd Inlet Suite 279,Kingmouth,North Carolina,12947,0.72
dc0b38d3-942b-40cd-b895-c19692e22e32,Leslie Green,9066 Amy Cliffs,New Edward,Kansas,33517,0.77
cb228fa7-2eae-4cc0-ad45-9fc7dd9cfccb,Andrea Jones,670 Fisher Harbor Suite 833,Dianaburgh,Nevada,94299,0.46
8c1ebfb7-2089-485d-bb53-67e025087f03,Bianca Anderson,4932 Rodriguez Locks,Port Martha,Nebraska,79883,0.05
d96c9b54-1a48-4187-91b7-d1e4e281ffd9,Tracy Thomas,61433 Rojas Circles,South Henryfurt,Ohio,34061,0.28
251b6fcd-ac13-46ae-9156-6c0cc1481c84,Jonathan Glover,958 Jeremy River,Lake Glenn,Indiana,30475,0.48
dd6d98ec-cf18-49fd-af86-29245a8a86ca,John Jones,824 Melissa Drive,South Tiffany,Wisconsin,66972,0.23
6e1b86fa-da45-4723-8530-168d69da233d,Kimberly Turner,592 Washington View Apt. 096,Lake Steve,Maryland,15156,0.51
af6cc871-50ba-483b-a066-4dfbdfc1c9f1,Tammy Smith,467 Leon Parkways Apt. 738,West Danielle,Nevada,70586,0.13
5b3bb89f-43a9-40d4-add9-8e264bd99d95,Jesse Yang,206 Black Circles Apt. 873,West Angela,Delaware,48618,0.42
8f470997-2d8c-4fc9-9ba6-cdc5ae7062f7,Lisa Kline,070 Obrien Garden,Morrisfort,Nebraska,83693,0.95
f123ab04-4903-4581-b258-d65b0eef41d3,Sarah Clark,959 Vanessa Mill,Lake Yvonneside,California,05000,0.77
9cad9ef9-687c-4fff-a779-7e659573c634,Megan Hudson,4858 Andrade Valleys Suite 618,Jasonshire,Washington,79513,0.18
0af2fccb-2501-46dc-9e56-a41058372f54,Jason Williams,629 Robert Parkways,East Matthew,Oklahoma,46848,0.07
719a55a5-d5f4-43b0-b56d-2877e4ddea4a,Nathan Francis,3202 Martin Plains Suite 056,Sandersfurt,Virginia,69013,0.51
3543d63b-57d6-4cf6-ae66-c93b0c3ad186,Amanda Hughes,2977 Stark Villages Apt. 331,Ryanland,Colorado,98301,0.58
ae681e9d-7b9a-4748-aa6c-e6f69ab4d730,Tyrone Johnson,8267 Stephanie Lock Apt. 059,Gomezmouth,Michigan,42380,0.39
78e40cf9-aa67-4d32-b39b-8537fb6919aa,Christopher Smith DVM,3638 Mark Meadows Suite 362,West Jennifer,Washington,31711,0.19
9b49e30b-07a9-4dd9-a5a0-cee83a996d80,Jonathon Brown,0636 Barron Crossroad Apt. 380,Maryshire,Virginia,97829,0.31
f3f058d7-5ca7-4dd5-8fce-4b34d61c2174,Tyler Garcia,59774 Becky Meadow,Andersonberg,Wyoming,15724,0.2
da4be693-b581-4c1f-8639-4bd814abe586,Antonio Kennedy,353 Kelly Lake,North Mariah,Mississippi,76801,0.47
aadacd2f-be87-46ef-865d-a9367aade168,Maria Rollins,78574 Vanessa Land,South Gregorytown,Wisconsin,82469,0.04
566c30b0-6eff-4cc4-91e2-0c75871d6380,Janice Smith,313 Jamie Streets Suite 761,East Michael,South Dakota,82515,0.84
6ec522e5-9f12-441d-8f20-dd7ca5224685,Amber Morris,9921 Moran Streets,Lynchview,Florida,92293,0.78
9efb6224-38cd-494f-b2e6-52ba4f6059f7,Pamela Stephens,6290 Jeff Land Suite 754,Mendozamouth,Idaho,31759,0.82
95c36181-38d7-42ab-865e-d21b8fe3903e,Robert Williams,648 Myers Viaduct,West Harry,Kansas,97893,0.08
ef0106c7-da5e-41c8-9084-3293ac4af9a2,Madeline Campbell,026 Miller Walk,Liumouth,Michigan,77057,0.55
6dc79b81-0bc3-4cf5-8fef-812b08984df7,Ethan Harris,79316 Micheal Club Suite 884,Rogersberg,Utah,00560,0.74
1da8965f-7280-408e-a45f-20b6b8cc5e5a,Elizabeth Bell,69560 Richard Land Suite 394,Mccormickburgh,Ohio,29967,0.92
40c2046c-a0b8-4897-9cce-fa7e0e879ba8,Mandy Ramirez,60446 Dixon Corners Suite 154,Coreyside,South Dakota,06437,0.71
d3caf02a-b0e0-47a7-a08b-36857589ecfa,Melissa Berg,41230 Derrick Common Apt. 198,Yorkside,North Carolina,38018,0.57
557a4830-f524-43b7-bf2c-07c845c50ab2,Sheila Matthews,9541 Johnson Plain Apt. 726,Kimberlyberg,North Carolina,91192,0.87
4df10083-a3aa-4e23-a3fd-0c6d5e98410d,Laura Anderson,351 Horton Bridge,Rachelberg,Rhode Island,72342,0.07
586809dc-70ef-46bd-8dca-c27abe411d05,Anne Terry,079 Stephen Vista Suite 731,West Loriburgh,Alabama,57148,0.73
c72009e4-2897-45e1-9957-c24723ea1fcf,Mary Fisher,125 Rebecca Union,Weissmouth,West Virginia,21626,0.95
0a53a2b3-70d9-48f6-8fc5-b7d5619af9cd,Howard Alexander,934 Jennifer Road Suite 883,Port Matthew,Maryland,83672,0.11
3fe730a1-8aea-4c31-87c4-897913392dd2,Stephanie Williams,927 Monique Island Suite 574,North Markchester,Ohio,66656,0.91
58070f92-0013-4a44-931a-8329cb0ef9fe,Ryan Sanders,72760 Cabrera Isle Apt. 747,Rogershire,Georgia,26819,0.47
8927ac17-8317-4282-9339-208af4c19688,Marc Hernandez,175 Morales Park,South Micheleview,Alabama,20168,0.71
312c0e16-a841-4363-a0e1-e5ae7d3172bf,Jerry Larson,45827 Bowman Gateway Apt. 710,Brownmouth,Maryland,88170,0.72
efd9baaa-f260-4123-aa8b-5e57c009ea7d,Allen Marshall,78410 Gill Pike,South Leslie,Idaho,78388,0.66
c072122a-5e96-4311-bd2d-2ba8cf013907,Natalie Campbell,36635 Sarah Creek,Gilmoremouth,Maine,29330,0.7
23072d8f-2a8d-4176-b2af-38bbc3578c55,Anna Parrish,0560 Cruz Pike Apt. 482,East Troyfurt,Georgia,20635,0.43
918b8cee-ca08-412d-bb72-fa489cf45d6b,Jaclyn Reed,4073 Harold River,Robertside,Wyoming,36640,0.68
1daa4da4-d979-446d-ae73-99e116ada2e7,Jacob Williams,30472 Abigail Ville Apt. 337,Noblemouth,West Virginia,22352,0.47
f192ecda-39b9-41ec-b0c9-d223aefb68b4,Elizabeth Young,209 Kristina Garden Apt. 953,Walkerview,Nevada,58144,0.33
01dc2d07-fa6d-4387-90e8-220fd19c9dcd,Kim Williams,17771 Sanchez Club Apt. 313,Johnville,Nevada,23592,0.87
a5cd0e5e-a8c7-4e64-ba2b-af29bbe08e7a,David Watkins,95206 Brittany Plains Suite 680,Kristinshire,Massachusetts,69552,0.18
093c5eff-6190-4e04-878e-480e2b09b1c8,Ashley Hicks,605 Valentine Burg,Fergusonton,Nebraska,93069,0.42
36427ad8-9593-4db8-8b47-59767d107564,Cynthia Pacheco,26345 Salas Plain,Garciastad,Connecticut,98928,0.16
4599941f-32dd-44ee-9f08-be6dd69d801e,Julie Parker,60756 Robin Corner Apt. 713,Leechester,Minnesota,05475,0.34
4ed5c801-1c6f-471a-83b9-76b9888f7903,Crystal Mckenzie,3594 Christian Parks Apt. 185,Michellechester,Connecticut,38360,0.31
a18f9ede-a048-45e5-8690-844d7cd42311,Kelly Solomon,18224 Kristen Route,North Kyle,New York,96074,0.02
5e907dd7-d989-4b78-beef-a3305eed1b25,Dr. Amanda Graham,096 Francisco Springs,Heatherland,Pennsylvania,50982,0.48
47e9d31a-5995-4c80-ab75-9986c2d69ef0,Michael Harrell,15179 Fernandez Row Suite 387,Port Seanport,New Hampshire,51593,0.89
ea4444b0-f659-4b21-8e8f-3b0be3555c81,Jenna Downs,72077 Reid Mill Apt. 768,Howardbury,Florida,86151,0.33
9cdceba4-245e-492f-8554-cf7d996631ea,Samuel Nunez,429 Fox Mall Suite 205,Duncanshire,Maryland,76999,0.33
5b9c6dc9-17f6-4397-87b7-8c117c0c8033,Brandy Gillespie,46205 Armstrong Park,South Rebecca,Tennessee,32044,0.43
0a9bddad-4e61-4f12-91ec-1c62c7289593,Alicia Tran,05249 Kimberly Meadow Apt. 822,Richardchester,Washington,92934,0.9
595dd197-aaa9-49fe-abdf-ef1622c5e1b5,Devin Hansen,41599 Daniel Heights Suite 927,New Barbara,Florida,30014,0.47
f2165a1c-5916-4a11-9464-a5ca0452a537,Connie Reyes,6947 Waters Ridges,Mikaylaton,New York,40019,0.87
