CustomerID,Name,StreetAddress,City,State,ZipCode,RiskScore
2ec83a38-f545-414e-b8a6-c551b62acf00,Angela Choi,45824 Lewis Inlet Suite 384,Frankstad,Maine,80505,0.14
9ba3aaf6-9e24-4aa0-a103-02d745bf9643,Erin Meyer,2469 Johnson Vista,Munozchester,Idaho,21301,0.99
4ebfd432-7631-498f-9aa3-30f0d4f9a324,David Weaver,0223 Smith Wall Apt. 480,Lisamouth,Vermont,53976,0.15
aff1dcf9-3a2a-446a-b0ab-fcefeea5b922,Nicholas Moody,17876 Melissa Way Apt. 649,Robertside,Texas,97927,0.3
c1adcf78-ebc6-4754-bb71-7f438b9a2875,Jennifer Arias,6284 Marvin Islands Suite 063,Lake Gregland,South Carolina,66555,0.25
69e48f0e-d685-4c31-b626-bbbe321c337b,Jordan Hardy,0753 Thomas Dale,Michellestad,Tennessee,43328,0.03
28ff12de-1dc3-417b-bf8c-f8dd0cf12437,James Hendricks,90188 Garrett Ports,Katieburgh,Michigan,45414,0.18
3f1e7c7c-41c4-409a-b2cd-8178a9f86021,Allison Rodriguez,699 Peter Coves Apt. 589,Danielside,Oklahoma,62204,0.79
a391bd49-de7b-45ab-a7fe-2f843b411c9e,Dale Price,057 April Turnpike,West Roger,Oklahoma,64597,0.13
c7068774-4a2b-4a0a-8e27-17ea3c384ff0,Kathy Marsh,8094 King Courts Suite 131,Chavezside,Maine,50508,0.24
aaba3e7a-6720-488d-8548-85dfbdb38c0f,Edward Howard,812 Michael Square Apt. 607,West Cassandra,Nevada,51185,0.54
68506da7-12f3-4f45-863e-b2b6fdbcb1bc,Alejandra Bell,5702 Brown Estate,Port John,North Dakota,81455,0.05
679e6f72-0ddb-4b46-ac52-20675de535c4,Andrea Foster,33242 Ingram Alley,Port Mary,Vermont,96446,0.77
ce548286-b32e-4306-9c40-bd520f75ff61,Marcus Mason,99949 Lee Fords,Port Samuel,Hawaii,66529,0.96
fbb34634-5f5b-429f-8436-7a89a9555f0d,Christopher Young,63543 Rubio Harbor Apt. 550,Port Ashleymouth,Washington,33224,0.0
fc156f8b-b1a5-44e3-b067-a00f2205c226,Justin Martinez,4051 Garrison Avenue Suite 844,Melaniemouth,Vermont,45470,0.61
6852bd80-6d44-415c-9135-7a11cdbddfd6,Andrew Burton,9901 Paige Estate Apt. 515,Castanedaton,South Carolina,15309,0.67
fa5eeaf4-43fd-4ace-ad8a-5d8ac72dc522,Wesley Fletcher,77005 Timothy Crest,East Kurt,Wyoming,47466,0.11
e078179e-c926-482f-aa93-ffbf33f34c19,Kimberly Fox,6006 Jennifer Fords Apt. 507,Lake Kristintown,Missouri,68232,0.12
9a3ab7b8-b19a-456a-8696-4b4679e4c422,Robert Perez,823 Moss Turnpike Apt. 158,Lake Maria,Tennessee,50612,0.34
e2d062b7-4b6b-4ab0-bb83-b19bf3c76558,Kimberly Navarro,19098 Burns Ford,West Moniquebury,California,46151,0.82
d63e2ff2-c69b-4d58-b330-2b92617b95ee,Kimberly Cook,38099 Rice Bridge,Maryhaven,Tennessee,81093,0.79
9749c6f1-62f7-49bc-a265-2c5d787c9b46,Jesse Thomas,165 Alexander Crest Apt. 074,South Anthonytown,Illinois,87885,0.96
33d2a638-2927-41da-9750-fb3ad362b63c,Christine Kennedy,535 Rhonda Track Suite 167,Mariemouth,Idaho,47345,0.78
5bdafc87-c921-4787-ad92-45a73e3f1ce5,Victoria Russell,0630 James Keys Suite 800,Travistown,New Mexico,80066,0.63
4d1a522a-2b6c-446a-bf40-5d97ea7986c9,Becky Heath,111 Jimmy Spring Suite 724,Lake Kimberlyfort,Washington,69361,0.62
