CustomerID,Name,StreetAddress,City,State,ZipCode,RiskScore
aa2702ea-260e-4aed-8d4c-5ce830f6981a,Michael Thomas,20068 Johnny Estates,Carlosmouth,Florida,48055,0.35
7b7f2c7f-e5a3-4115-ae83-a74f8c8c359d,Larry Lopez,66412 Williams Cape,Lake Jill,New Mexico,79567,0.53
72b6358c-bce3-4247-8719-39e990297917,Mark Farley,093 Underwood Grove Suite 824,Troymouth,Texas,31788,0.95
47c01b3c-b6af-4dee-8785-978bab4ecdd7,David Oneal,924 Anne Villages,Natalieport,Pennsylvania,05682,0.47
18b086d5-770b-45c2-8e65-78458735b179,Autumn Callahan,459 Janet Wells Suite 840,South Kevinville,West Virginia,55219,0.82
65db7d4a-2d9a-48d3-b6d8-5dc1a1cfbd2f,Crystal Grant,924 Perkins Green Apt. 130,Javierside,Nevada,85018,0.54
664f089f-ccb2-4ef7-8e18-0c539271fa01,Marcus Williams,54059 Coleman Station,Sarahhaven,California,99724,0.23
9e746fb8-c73e-45f4-ab8d-d1cbb0236d2a,Victoria Sullivan,526 Shirley Ford Apt. 674,Johnstonville,Georgia,11449,0.79
4890f8e1-b12e-492e-b6c0-befd7d988f55,Stacey Chen,23362 Proctor Harbors Apt. 634,Williamview,Wyoming,29722,0.23
7e2070ca-3a01-4627-afcd-28c50b0e2515,James Mcgee,9126 Joseph Stravenue,Patrickberg,Virginia,94836,0.66
3e7104b9-612a-431b-abba-fda5f994a966,Suzanne Graham,85908 William Orchard Apt. 571,Jennifermouth,Vermont,84657,0.16
c998261d-3f79-48c1-8bd6-e27ccd57883e,Randy Burke,956 Jason Plaza,Josephland,Virginia,29244,0.71
d556295d-ae89-4ea3-b6eb-62884a4f246d,Melissa Hensley,273 Simon Grove Suite 332,South Kristinamouth,Florida,60423,0.18
961f31b6-1015-47ff-b9bc-1ebe0d266690,Brian Allen,758 Walker Manor,South Cindyshire,Georgia,97824,0.46
4a4c27f2-3928-4f41-bc0d-8b542b3b72c8,Kathryn Hudson,90196 Owen Glens,Bowmanstad,West Virginia,86699,0.79
388a0e74-8e17-4b77-ac6c-45e4c93d342e,Judith English,7352 Julia Mountain,West Adamchester,Arizona,21262,0.05
7842cb46-81cb-4e03-aa80-c5dd7605e965,Christina Curry,2476 Ryan Expressway,Jonathanbury,West Virginia,66458,0.47
55d71300-d7b0-4648-8628-d15d1a7c6a4e,Edward Kelly,866 Taylor Pine,Marissaburgh,Rhode Island,57796,0.95
ec020714-d9f9-4aaa-89c1-7131d91f3584,Lisa Mccormick,54533 Valdez Valleys Apt. 941,Timothyburgh,Mississippi,53489,0.35
fa8a1687-2cf0-4d44-960f-12f39241cbb4,Richard Humphrey,324 Williams Locks Suite 107,East Nicholastown,Georgia,46047,0.18
5fc51dbd-89b6-4d14-a2a3-af03733a6782,Sharon Aguirre,513 Justin Shoal,Kathymouth,Wisconsin,09349,0.6
ac05bec4-86f2-4d5d-82e7-b10f954a1cb1,Joshua Moon,04713 Haynes Manor Apt. 039,Williamside,Rhode Island,13140,0.42
9453225c-a820-4a77-8270-11be349f38f9,Stephen Phillips,0071 Brittney Radial Apt. 432,Robertchester,Louisiana,07621,0.15
a491c5c0-464e-4dc6-b994-814343cfde07,Sara Vaughan,940 King Springs,Kimberlyshire,Arizona,30377,0.51
0cd0f069-3474-4f2e-8ae1-c72c736dc1f0,Jessica Rivera,9404 Jasmine Springs,South Kristina,Iowa,78963,0.05
66123869-8e72-496f-b90b-a3fc05601aeb,David Blair,5588 Thomas Stravenue Suite 274,Jamesbury,Vermont,21423,0.89
c9db5bd8-a1d9-4886-86ef-95d5dc3fae3a,Robin Pollard,620 Walker Brooks,New Peter,Nebraska,66694,0.73
2e53a9a6-f003-4735-9ff3-f61a71f9bb5f,Samantha Carter,995 Hughes Shoals Apt. 096,Port Candice,Iowa,11607,0.84
6132b237-e801-44c5-9742-c6481565f2d1,Jonathan Miles,87142 Laura Common,Lisaberg,South Dakota,74744,0.15
98f88a33-35a5-405d-8ca1-72282dedcb2e,Kevin Berry,3097 Pope Cove Suite 722,Johnsonport,New York,31314,0.39
b66ce360-ba56-44c1-bb31-0ded22705b7c,Alexis Thomas,1661 Cheryl Isle,East James,Tennessee,74255,0.08
702565c1-d884-42f6-aa9d-f5d44cd6d49a,Amanda Hurst,1317 Robert Flats Suite 499,Johnsonton,Tennessee,77489,0.47
bc7f508f-c61f-4d10-8770-58b124359859,Nancy Hardy,977 Gary Terrace,Mirandaview,Louisiana,27012,0.12
a0e1c0a5-a8cd-41b5-98b2-13ad9b833a66,Lauren Clark,917 Mcknight Mountains Suite 132,Jacksonside,Oregon,30247,1.0
ef010773-4479-4929-8264-e61463749084,Deborah Smith,17301 Wayne Brooks,South Georgeland,Montana,83348,0.17
4c5bfc99-944b-4490-9a13-1a3f55ff8f2c,Rose Burns,4877 Jenkins Causeway Apt. 682,Lake Jasonborough,Idaho,23521,0.91
